Account_id|Address_Id|Primary|
1-LE8Y|1-LE91|Y|
1-LE8Y|1-LE93|N|
1-LEDO|1-LEDR|Y|
1-LEHA|1-LEHD|Y|
1-LEKM|1-LEKP|Y|
1-LEKM|1-LEKR|N|
1-MC0I|1-MC0L|Y|
1-MLSQ|1-MLST|Y|
1-MLVI|1-MLVL|Y|
1-MM08|1-6W39C|Y|
1-MM08|1-MM0B|N|
1-MNES|1-MNEV|Y|
1-MNJ8|1-MNJB|Y|
1-MRLW|1-MRLZ|Y|
1-MRRQ|1-MRRT|Y|
1-MTQ0|1-MTQ3|N|
1-MTQ0|1-MTQ5|Y|
1-MTUQ|1-MTUT|Y|
1-NERI|1-NERL|Y|
1-NERI|1-NERN|N|
1-NF18|1-NF1B|Y|
1-NF9K|1-NF9N|Y|
1-LB1O|1-LB1R|N|
1-LB1O|1-LB1T|Y|
1-LB78|1-LB7B|Y|
1-LBAU|1-LBAX|Y|
1-LBD2|1-LBD5|Y|
1-LBG4|1-LBG7|Y|
1-LBK0|1-LBK3|Y|
1-LBR8|1-LBRB|Y|
1-LBR8|1-LBRD|N|
1-LCY0|1-LCY3|Y|
1-LD2G|1-LD2J|Y|
1-LD5S|1-LD5V|Y|
1-LD9E|1-LD9H|Y|
1-LDD0|1-LDD3|Y|
1-LDH6|1-LDH9|Y|
1-LDH6|1-LDHB|N|
1-LDM6|1-LDM9|Y|
1-LDQ2|1-LDQ5|Y|
1-LDQ2|1-LDQ7|N|
1-LDUS|1-LDUV|Y|
1-LE2A|1-LE2D|Y|
1-PBCE|1-PBCH|Y|
1-PBL0|1-PBL3|Y|
1-PBOM|1-PBOP|Y|
1-PQAG|1-PQAJ|Y|
1-PVLK|1-PVLN|Y|
1-PVLK|1-PVLP|N|
1-W5FK|1-W5FN|Y|
1-ZQ7Y|1-ZQ81|Y|
1-ZX18|1-ZX1B|Y|
1-ZX18|1-ZX1D|N|
1-ZXH2|1-ZXH5|Y|
1-105V0|1-105V3|Y|
1-10MAE|1-10MAH|Y|
1-10MFY|1-10MG1|N|
1-10MFY|1-10MG3|Y|
1-11GG8|1-11GGB|N|
1-11GG8|1-11GGD|Y|
1-11GG8|1-11GGF|N|
1-11GJU|1-11GJX|Y|
1-OW8I|1-OW8L|Y|
1-OW8I|1-OW8N|N|
1-PBX8|1-PBXB|N|
1-PBX8|1-PBXD|Y|
1-PQHO|1-PQHR|Y|
1-PQHO|1-PQHT|N|
1-YHQ0|1-YHQ3|Y|
1-YHQ0|1-YHQ5|N|
1-ZPVQ|1-ZPVT|Y|
1-69BLK|1-69BLN|Y|
1-OW6A|1-OW6D|Y|
1-PBFG|1-PBFJ|Y|
1-PBI8|1-PBIB|Y|
1-PC0K|1-PC0N|Y|
1-PC3W|1-PC3Z|Y|
1-PQQU|1-PQQX|Y|
1-ZQ24|1-ZQ27|Y|
1-ZQDS|1-ZQDV|Y|
1-11PM8|1-11PMB|Y|
1-11VX6|1-11VX9|Y|
1-12626|1-12629|Y|
1-126EE|1-126EH|Y|
1-126EE|1-126EJ|N|
1-16ADW|1-16ADZ|Y|
1-16AIW|1-16AIZ|Y|
1-16ALO|1-16ALR|Y|
1-16AO6|1-16AO9|Y|
1-174U0|1-174U3|Y|
1-12P4U|1-12P4X|Y|
1-16AGY|1-16AH1|Y|
1-15EZ2|1-15EZ5|Y|
1-15F10|1-15F13|Y|
1-15FA6|1-15FA9|Y|
1-15FA6|1-15FAB|N|
1-15ETI|1-15ETL|Y|
1-15OES|1-15OEV|Y|
1-13I2S|1-13I2V|Y|
1-148EU|1-148EX|Y|
1-13IJ6|1-13IJ9|Y|
1-13X1Y|1-13X21|Y|
1-12P7M|1-12P7P|Y|
1-12P7M|1-12P7R|N|
1-15FG0|1-15FG3|Y|
1-15FCO|1-15FCR|Y|
1-169WY|1-169X1|Y|
1-16A1E|1-16A1H|Y|
1-13IGE|1-13IGH|Y|
1-17VZ8|1-17VZB|Y|
1-17VX0|1-17VX3|Y|
1-1PIUI|1-1PIUL|Y|
1-1PIWG|1-1PIWJ|Y|
1-1PIQM|1-1PIQP|Y|
1-1PISK|1-1PISN|Y|
1-1PJNY|1-1PJO3|Y|
1-1PJHU|1-1PJHX|Y|
1-1PJM0|1-1PJM3|Y|
1-1PJNY|1-1PJO1|N|
1-1PV8M|1-1PV8P|Y|
1-1Q1NQ|1-1Q1NT|Y|
1-1PUWE|1-1PUWH|Y|
1-1PVU0|1-1PVU3|Y|
1-1PV4G|1-1PV4J|Y|
1-1PV6E|1-1PV6H|Y|
1-1PV6E|1-1PV6J|N|
1-1PFAQ|1-1PFAT|Y|
1-1PF0Q|1-1PF0T|Y|
1-1PF38|1-1PF3B|Y|
1-1PF88|1-1PF8B|Y|
1-1Q104|1-1Q107|Y|
1-1Q0UA|1-1Q0UD|Y|
1-1Q0W8|1-1Q0WB|Y|
1-1Q0Y6|1-1Q0Y9|Y|
1-1PS0I|1-1PS0L|Y|
1-1PRHW|1-1PRHZ|Y|
1-1PRJU|1-1PRJX|Y|
1-1PRJU|1-1PRJZ|N|
1-1PROA|1-1PROD|Y|
1-1PVGE|1-1PVGH|Y|
